,Yield year,Yield year1,Yield year2,Yield year3,Yield year4,Yield year5,Yield year6,Yield year7,Yield year8,Yield year9,Yield year10,Yield year11,Yield year12,Yield year13,Yield year14,Yield year15,Yield year16,Yield year17,Yield year18,Yield year19,Yield year20,Yield year21,Yield year22,Yield year23,Yield year24,Yield year25,Yield year26,Yield year27,Yield year28,Yield year29,Yield year30,Yield year31,Yield year32,Yield year33,Yield year34,Yield year35,Yield year36,Yield year37,Yield year38,Yield year39,Yield year40,Yield year41,Yield year42,Yield year43,Yield year44,Yield year45,Yield year46,Yield year47,Yield year48,Yield year49
105,2.51904102382548,-2.78424489520728,1.337697041081583,-0.3465532327430765,0.09528865615072846,-0.02047058222740361,0.009669448416502746,0.002335083813250094,0.0019768984928987265,0.01051553809759298,-0.023648434621009073,0.10521296253170931,-0.3813283674176091,1.4551209728995218,-3.0545780114915146,3.108450804605013,-1.8067459954212381,1.901091140986523,-3.4478429127105983,4.354274705585681,-4.219755096978474,2.875045665288951,0.050990077490013164,-2.938501758185083,4.276586582470259,-4.533115351211961,4.2653695946527534,-2.8909173988684955,-0.03569309939695131,2.946724494000989,-4.235323355629788,4.245684354835518,-2.944921040282658,0.051761124444581696,2.660031862368342,-3.0108197760872386,1.783734657585363,-1.832831761447082,3.188724677211134,-3.1049005113613717,1.463294939352398,-0.3866183386649169,0.11215723011430612,-0.0593838174964505,0.048651797560733456,,,,,
106,-2.877012456876514,1.3877644785927714,-0.3608136609923349,0.0993781617763716,-0.021349730664155686,0.010079519640498802,0.0024331580800662778,0.002058889108866424,0.010944127762058997,-0.02459661381180922,0.10963190711686366,-0.39531147314517057,1.5101896439119855,-3.1794026623593936,3.2447854250280557,-1.8903990758729492,1.992810678971864,-3.615953257763863,4.5668593711657195,-4.422082122837423,3.0084486216154573,0.05328187818781771,-3.0665611828638077,4.459133481191259,-4.722004681041028,4.439376091226876,-3.0068578261669643,-0.03709667660760374,3.061165503041437,-4.397492670634094,4.4071339527611,-3.0551778361584354,0.053702329770700885,2.758143375731194,-3.1210185201289917,1.848516720336761,-1.8988787337099495,3.3039569293093294,-3.2162891761067485,1.5154070806456588,-0.4002855548025259,0.11614026928966581,-0.06147829853353848,0.05037759547655174,,,,,,
107,1.4340049298871236,-0.3743182111859369,0.10346743372883793,-0.022266105315225104,0.010512271889638214,0.0025362822076431257,0.0021453589820339403,0.011398276425666154,-0.02559927555842023,0.11402735729609503,-0.41191487247567693,1.5655675218929446,-3.2997263494877416,3.377382813238455,-1.9733104670063994,2.085075928209335,-3.7904065632743027,4.7895295534138995,-4.637975902085486,3.1526964315026476,0.055751170126882243,-3.204537462761124,4.653461762954663,-4.923563379167263,4.624358543037118,-3.129523182422787,-0.03858313624419907,3.1816330720093333,-4.568276821611278,4.575881521522049,-3.1713563822632125,0.05571353807739854,2.861547781596798,-3.2361330362162235,1.9161740356837669,-1.9678422752561318,3.423016494028225,-3.332517571097675,1.5697725001048823,-0.41454086649591915,0.12024588885403276,-0.06366150523411562,0.052154406712280554,,,,,,,
108,-0.38678668044940423,0.10734003140396453,-0.023182395803360123,0.010963344429910649,0.002645100898007513,0.002236279695353005,0.011877270542868246,-0.026661768873509573,0.11867531465395587,-0.42842988616303046,1.6313222703138308,-3.420725562002872,3.5051989836887287,-2.0539491928644793,2.1765236931648815,-3.9658979712882,5.020601281988775,-4.8641121831093415,3.3066165601316015,0.05842075342047792,-3.3532218786286876,4.862838713604788,-5.138130352456642,4.821748173239598,-3.2599260167957027,-0.04015564416476991,3.309229432525882,-4.748054622833465,4.753593320314138,-3.2927865256091735,0.057832900485720984,2.968681716960262,-3.3574577610625624,1.986849411619417,-2.0398665990675013,3.5473335882104635,-3.4526063632444774,1.626500046565937,-0.4294125614129811,0.12452816376036324,-0.06591190802410551,0.05400647797061087,,,,,,,,
109,0.11091953318418746,-0.024050056457440405,0.011414416257139237,0.0027585250725223887,0.002332221237224985,0.012380955594608167,-0.02778242027000033,0.12360056355748839,-0.445893694014444,1.6967271012554193,-3.5643983622394444,3.633732752188962,-2.1316803650037173,2.2654656033158744,-4.139834689565419,5.253048159705827,-5.098780821702803,3.4678390008821225,0.06126903358898517,-3.5139924260572,5.0884650837164145,-5.369313093019116,5.031876877411776,-3.3990752699083657,-0.04182712132453048,3.444226368082923,-4.938470978217737,4.940663527683796,-3.420667303229635,0.06004812656294689,3.0815693635976515,-3.4831583527554386,2.061337561643498,-2.1151037269040103,3.6771681754671164,-3.5779981390925997,1.6851117343411204,-0.44493041414391854,0.12899558979686532,-0.06825911112597538,0.0559155555672346,,,,,,,,,
110,-0.024848078539207563,0.011841647146184187,0.0028719712147449172,0.0024322220067460876,0.012912496583112443,-0.028960863849988527,0.12879535432853118,-0.46439943058283006,1.765889413373884,-3.7073064762784043,3.786351937867721,-2.2098480000368,2.351201488462948,-4.309005439795328,5.483435988604697,-5.334846185171841,3.6351445167531438,0.06425235178710409,-3.6855425220076086,5.332431952262311,-5.618437389456176,5.25827744036161,-3.547204912924542,-0.04361044419155746,3.5877380665505143,-5.13993148124203,5.138803739866944,-3.5552823658169928,0.06238116072761102,3.199559701831731,-3.615609836514011,2.1385123064524407,-2.19439959363082,3.81279429663833,-3.708955110238321,1.7463116488726058,-0.46096367478730826,0.13365710793186736,-0.07070776336203366,0.05790674014479724,,,,,,,,,,
111,0.012239478869332743,0.002979476403197623,0.002532243575387838,0.01346654127542024,-0.030204516279127347,0.13425799576543795,-0.4839179681140422,1.8391780376095994,-3.8584246571165295,3.938158831974988,-2.3026628849120243,2.437419182732583,-4.472078493362915,5.707511367452412,-5.568820683871422,3.803445809126174,0.0673482654080999,-3.8652311674149473,5.592756591611646,-5.887812060812507,5.502248196807216,-3.706805382216544,-0.045508614624054644,3.7408747477890074,-5.354098879492938,5.348436000246153,-3.6978633757494492,0.06483718143996953,3.3238176375334376,-3.7540483483561786,2.2198317794301943,-2.2765554674105175,3.9557368435702642,-3.845753686952449,1.8102277681063939,-0.47770494179650314,0.13847345116064957,-0.0732627552662386,0.0599839719005395,,,,,,,,,,,
112,0.003082514274751702,0.002627030426310739,0.014020592153201505,-0.03150082955130529,0.14002284976891133,-0.5044429488848436,1.91647762445632,-4.018558803747851,4.098687019514273,-2.3949838627021336,2.5397906878832828,-4.636068087677586,5.923510393356878,-5.796384783200324,3.9702564303669305,0.07046306402560276,-4.05169974932096,5.865431326641783,-6.175247946596869,5.766050149718183,-3.8787919415473198,-0.04755338869296111,3.9038939038704257,-5.582630000627091,5.571290472003113,-3.848714035140432,0.06743872629917291,3.4546187761100953,-3.899840699961757,2.3048270137585405,-2.363123453264677,4.103834979983759,-3.989931949368483,1.8769949986741636,-0.49518922321969683,0.14350246088657315,-0.07590260049524034,0.06215139561871652,,,,,,,,,,,,
113,0.002717010116612073,0.014545377299555184,-0.032797068293007214,0.14603179133723643,-0.5261034994202873,1.997763000878308,-4.187456869516609,4.268792579952333,-2.49260864214898,2.6416180261916224,-4.830782329947965,6.140723584529724,-6.015747147114098,4.132496804573748,0.07355096238245551,-4.239279251842504,6.148394485030508,-6.476320096390623,6.047539480564069,-4.064758489531187,-0.04975644988951444,4.0795358965707464,-5.8259091115476735,5.809091158765796,-4.009079367628374,0.0701913379889163,3.5931597277715355,-4.053310262672426,2.394337157142502,-2.453604379918943,4.259886545701292,-4.139310370770573,1.9473640329503041,-0.5134534211076982,0.14875464955551365,-0.07865894916865912,0.06439079779352674,,,,,,,,,,,,,
114,0.015038172804452188,-0.03402461941652746,0.15204054223329422,-0.5486811833200136,2.08354553449135,-4.365063846120734,4.448207771932516,-2.5960578405002934,2.749295067577691,-5.024461730179155,6.398632503268573,-6.236342739644897,4.28888981433272,0.0765552310857629,-4.4251989334427435,6.433043440879715,-6.788752182610892,6.342382895330502,-4.263193746317711,-0.05213812615579627,4.268807862218182,-6.0880257698322,6.062237911264219,-4.180199966027885,0.07311779531926277,3.7397355826456646,-4.215861047469815,2.488560744352185,-2.548891485378647,4.422991737055469,-4.29671098934341,2.020271105002692,-0.5327028813950534,0.1542410968433785,-0.08153754787395684,0.06672900701935225,,,,,,,,,,,,,,
