,Forward
0,
1,1.031582382190351
2,1.0279088876858036
3,1.0261699746792396
4,1.0261460540491296
5,1.0266628197273366
6,1.0270413791985746
7,1.02756045992651
8,1.028290014000746
9,1.0289501094020956
10,1.0270709034007093
11,1.0323369966000406
12,1.0311727390957783
13,1.028190221069096
14,1.0252458725269937
15,1.0228550949134507
16,1.0209544047080192
17,1.020454970241511
18,1.0203927391424812
19,1.0212455321273466
20,1.0227573749172214
21,1.0241327208653137
22,1.0255203942652238
23,1.0264
24,1.027400467793692
25,1.0282615523256784
26,1.028942771700566
27,1.0296844594294012
28,1.030195700299521
29,1.0307371678799688
30,1.0309976615688892
31,1.031579478102571
32,1.0315286980327343
33,1.0321307183457609
34,1.0324113669079145
35,1.0326920344543202
36,1.0329727209798174
37,1.0328715755607918
38,1.0331322002361805
39,1.0333928412691857
40,1.0336534986556873
41,1.0334920743172413
42,1.0337326623214267
43,1.0335311441411286
44,1.034203880250925
45,1.0339821907255922
46,1.0337305204705152
47,1.0339309771697953
48,1.0341314435406943
49,1.0343319195813283
50,1.0340200466894298
51,1.0342004479469606
52,1.034380857036447
53,1.0345612739565506
54,1.0341892418352092
55,1.0343495836281977
56,1.033937602533526
57,1.0346602858752487
58,1.0342281495162304
59,1.034368430151495
60,1.0345087155238724
61,1.0346490056327171
62,1.0341568316546739
63,1.0342770517564668
64,1.0343972753389186
65,1.03451750240158
66,1.0346377329440881
67,1.0347579669660225
68,1.0341856963114378
69,1.034285863660107
70,1.0343860334259072
71,1.0344862056085395
72,1.0345863802078337
73,1.0346865572234902
74,1.0340343104414693
75,1.0348769185702773
76,1.0342045447121277
77,1.0350672895869888
78,1.0343747851664584
79,1.0344549077359633
80,1.034535031852162
81,1.0346151575149154
82,1.0338629718789072
83,1.0347654135322408
84,1.034845543835294
85,1.0340631917055736
86,1.0341232667411224
87,1.035065944135938
88,1.0342534193898854
89,1.0343134970354202
90,1.0343735755511123
91,1.0344336549368494
92,1.0344937351926418
93,1.0345538163184187
94,1.0346138983141293
95,1.0346739811797234
96,1.0347340649151495
97,1.0347941495203579
98,1.0338618816302325
99,1.0349043213818345
100,1.033951958749675
101,1.0350144967252293
102,1.0340420374151076
103,1.0351246755502377
104,1.034132117626275
105,1.034172158321973
106,1.0352849503391177
107,1.0342622408519004
108,1.0343022827074921
109,1.0343423249497679
110,1.03438236757881
111,1.034422410594505
112,1.0344624539969123
113,1.034502497786017
114,1.0345425419617287
115,1.0345825865241343
116,1.034622631473115
117,1.0346626768087346
118,1.0347027225309775
119,1.0347427686397503
120,1.033570703513349
121,1.03481286204478
122,1.0348529093137215
123,1.034892956969135
124,1.0336807509544168
125,1.034963053469133
126,1.0337307752581206
127,1.0350331515169553
128,1.035073201105791
129,1.0338108124343695
130,1.0351433014746938
131,1.033860837704084
132,1.0352134033912541
133,1.0339108633602043
134,1.0339308763373734
135,1.0353135591850142
136,1.0339809025732096
137,1.035383664970801
138,1.0340309291953573
139,1.0340509426558369
140,1.0354838265694037
141,1.034100969857611
142,1.0341209836080714
143,1.034140997455295
144,1.0356140474650777
145,1.0341910254298392
146,1.0342110395669841
147,1.0342310538007884
148,1.0342510681313482
149,1.034271082558563
