NACE,NACE code text,sSpread
C13.1,Preparation and spinning of textile fibres,0.01
C13.1.0,Preparation and spinning of textile fibres,0.01
C13.2,Weaving of textiles,0.01
C13.2.0,Weaving of textiles,0.01
C13.3,Finishing of textiles,0.01
C13.3.0,Finishing of textiles,0.01
C13.9,Manufacture of other textiles,0.01
C13.9.1,Manufacture of knitted and crocheted fabrics,0.01
C13.9.2,"Manufacture of made-up textile articles, except apparel",0.01
C13.9.3,Manufacture of carpets and rugs,0.01
C13.9.4,"Manufacture of cordage, rope, twine and netting",0.01
C13.9.5,"Manufacture of non-wovens and articles made from non-wovens, except apparel",0.01
C13.9.6,Manufacture of other technical and industrial textiles,0.01
C13.9.9,Manufacture of other textiles n.e.c.,0.01
C14,Manufacture of wearing apparel,0.01
C14.1,"Manufacture of wearing apparel, except fur apparel",0.01
C14.1.1,Manufacture of leather clothes,0.01
C14.1.2,Manufacture of workwear,0.01
C14.1.3,Manufacture of other outerwear,0.01
C14.1.4,Manufacture of underwear,0.01
C14.1.9,Manufacture of other wearing apparel and accessories,0.01
C14.2,Manufacture of articles of fur,0.01
C14.2.0,Manufacture of articles of fur,0.01
C14.3,Manufacture of knitted and crocheted apparel,0.01
C14.3.1,Manufacture of knitted and crocheted hosiery,0.01
C14.3.9,Manufacture of other knitted and crocheted apparel,0.01
C15,Manufacture of leather and related products,0.01
C15.1,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur",0.01
C15.1.1,Tanning and dressing of leather; dressing and dyeing of fur,0.01
C15.1.2,"Manufacture of luggage, handbags and the like, saddlery and harness",0.01
C15.2,Manufacture of footwear,0.01
C15.2.0,Manufacture of footwear,0.01
C16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",0.01
C16.1,Sawmilling and planing of wood,0.01
C16.1.0,Sawmilling and planing of wood,0.01
C16.2,"Manufacture of products of wood, cork, straw and plaiting materials",0.01
C16.2.1,Manufacture of veneer sheets and wood-based panels,0.01
C16.2.2,Manufacture of assembled parquet floors,0.01
C16.2.3,Manufacture of other builders' carpentry and joinery,0.01
C16.2.4,Manufacture of wooden containers,0.01
C16.2.9,"Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials",0.01
C17,Manufacture of paper and paper products,0.01
C17.1,"Manufacture of pulp, paper and paperboard",0.01
C17.1.1,Manufacture of pulp,0.01
C17.1.2,Manufacture of paper and paperboard,0.01
C17.2,Manufacture of articles of paper and paperboard,0.01
C17.2.1,Manufacture of corrugated paper and paperboard and of containers of paper and paperboard,0.01
C17.2.2,Manufacture of household and sanitary goods and of toilet requisites,0.01
C17.2.3,Manufacture of paper stationery,0.01
C17.2.4,Manufacture of wallpaper,0.01
C17.2.9,Manufacture of other articles of paper and paperboard,0.01
C18,Printing and reproduction of recorded media,0.01
C18.1,Printing and service activities related to printing,0.01
C18.1.1,Printing of newspapers,0.01
C18.1.2,Other printing,0.01
C18.1.3,Pre-press and pre-media services,0.01
C18.1.4,Binding and related services,0.01
C18.2,Reproduction of recorded media,0.01
C18.2.0,Reproduction of recorded media,0.01
C19,Manufacture of coke and refined petroleum products,0.01
C19.1,Manufacture of coke oven products,0.01
C19.1.0,Manufacture of coke oven products,0.01
C19.2,Manufacture of refined petroleum products,0.01
C19.2.0,Manufacture of refined petroleum products,0.01
C20,Manufacture of chemicals and chemical products,0.01
C20.1,"Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms",0.01
C20.1.1,Manufacture of industrial gases,0.01
C20.1.2,Manufacture of dyes and pigments,0.01
C20.1.3,Manufacture of other inorganic basic chemicals,0.01
C20.1.4,Manufacture of other organic basic chemicals,0.01
C20.1.5,Manufacture of fertilisers and nitrogen compounds,0.01
C20.1.6,Manufacture of plastics in primary forms,0.01
C20.1.7,Manufacture of synthetic rubber in primary forms,0.01
C20.2,Manufacture of pesticides and other agrochemical products,0.01
C20.2.0,Manufacture of pesticides and other agrochemical products,0.01
C20.3,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics",0.01
C20.3.0,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics",0.01
C20.4,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations",0.01
C20.4.1,"Manufacture of soap and detergents, cleaning and polishing preparations",0.01
C20.4.2,Manufacture of perfumes and toilet preparations,0.01
C20.5,Manufacture of other chemical products,0.01
C20.5.1,Manufacture of explosives,0.01
C20.5.2,Manufacture of glues,0.01
C20.5.3,Manufacture of essential oils,0.01
C20.5.9,Manufacture of other chemical products n.e.c.,0.01
C20.6,Manufacture of man-made fibres,0.01
C20.6.0,Manufacture of man-made fibres,0.01
C21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,0.01
C21.1,Manufacture of basic pharmaceutical products,0.01
C21.1.0,Manufacture of basic pharmaceutical products,0.01
C21.2,Manufacture of pharmaceutical preparations,0.01
C21.2.0,Manufacture of pharmaceutical preparations,0.01
C22,Manufacture of rubber and plastic products,0.01
C22.1,Manufacture of rubber products,0.01
C22.1.1,Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres,0.01
C22.1.9,Manufacture of other rubber products,0.01
C22.2,Manufacture of plastics products,0.01
C22.2.1,"Manufacture of plastic plates, sheets, tubes and profiles",0.01
