Country,Euro_Maturities,Euro_Values,Austria_Maturities,Austria_Values,Belgium_Maturities,Belgium_Values,Bulgaria_Maturities,Bulgaria_Values,Croatia_Maturities,Croatia_Values,Cyprus_Maturities,Cyprus_Values,Czech Republic_Maturities,Czech Republic_Values,Denmark_Maturities,Denmark_Values,Estonia_Maturities,Estonia_Values,Finland_Maturities,Finland_Values,France_Maturities,France_Values,Germany_Maturities,Germany_Values,Greece_Maturities,Greece_Values,Hungary_Maturities,Hungary_Values,Iceland_Maturities,Iceland_Values,Ireland_Maturities,Ireland_Values,Italy_Maturities,Italy_Values,Latvia_Maturities,Latvia_Values,Liechtenstein_Maturities,Liechtenstein_Values,Lithuania_Maturities,Lithuania_Values,Luxembourg_Maturities,Luxembourg_Values,Malta_Maturities,Malta_Values,Netherlands_Maturities,Netherlands_Values,Norway_Maturities,Norway_Values,Poland_Maturities,Poland_Values,Portugal_Maturities,Portugal_Values,Romania_Maturities,Romania_Values,Russia_Maturities,Russia_Values,Slovakia_Maturities,Slovakia_Values,Slovenia_Maturities,Slovenia_Values,Spain_Maturities,Spain_Values,Sweden_Maturities,Sweden_Values,Switzerland_Maturities,Switzerland_Values,United Kingdom_Maturities,United Kingdom_Values,Australia_Maturities,Australia_Values,Brazil_Maturities,Brazil_Values,Canada_Maturities,Canada_Values,Chile_Maturities,Chile_Values,China_Maturities,China_Values,Colombia_Maturities,Colombia_Values,Hong Kong_Maturities,Hong Kong_Values,India_Maturities,India_Values,Japan_Maturities,Japan_Values,Malaysia_Maturities,Malaysia_Values,Mexico_Maturities,Mexico_Values,New Zealand_Maturities,New Zealand_Values,Singapore_Maturities,Singapore_Values,South Africa_Maturities,South Africa_Values,South Korea_Maturities,South Korea_Values,Taiwan_Maturities,Taiwan_Values,Thailand_Maturities,Thailand_Values,Turkey_Maturities,Turkey_Values,United States_Maturities,United States_Values
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,-0.001432426,14,-0.00509673,,,14,0.001684785,,,7,0.000690885,,,7,-25.55236838,,,28,0.01255973,,,2.153846154,0.028925865,14,-0.004504836,,,7,-0.012401678,7,0.153541293,,,,,,,28,0.009396062
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,-0.001384655,14.5,-0.005011023,,,14.5,0.001656454,,,7.25,0.000683324,,,7.25,0.02445426,,,29,0.012135005,,,2.230769231,0.028829152,14.5,-0.004429082,,,7.25,-0.012236785,7.25,-0.003731277,,,,,,,29,0.009082708
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,-0.355062303,15,-0.177846876,,,15,0.001628599,,,7.5,0.000675846,,,7.5,0.024247775,,,30,1.159736212,,,2.307692308,0.028732762,15,-0.004354602,,,7.5,-0.012074085,7.5,-0.003699771,,,,,,,30,0.308534156
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,0.00976067,15.5,-0.001594548,,,15.5,0.001601212,,,7.75,0.000668449,,,7.75,0.024043034,,,,,,,2.384615385,0.028636694,15.5,-0.004281375,,,7.75,-0.011913547,7.75,-0.003668531,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,0.009435157,16,-0.001567734,,,16,0.001574286,,,8,0.000661134,,,8,0.023840022,,,,,,,2.461538462,0.028540947,16,-0.004209379,,,8,-0.011755145,8,-0.003637555,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,0.0091205,16.5,-0.001541371,,,16.5,0.001547812,,,8.25,0.000653898,,,8.25,0.023638724,,,,,,,2.538461538,0.02844552,16.5,-0.004138593,,,8.25,-0.011598848,8.25,-0.003606841,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,0.008816336,17,-0.001515451,,,17,0.001521784,,,8.5,0.000646742,,,8.5,0.023439125,,,,,,,2.615384615,0.028350413,17,-0.004068998,,,8.5,-0.01144463,8.5,-0.003576386,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,0.008522316,17.5,-0.001489967,,,17.5,0.001496194,,,8.75,0.000639664,,,8.75,0.023241212,,,,,,,2.692307692,0.028255623,17.5,-0.004000573,,,8.75,-0.011292462,8.75,-0.003546188,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,0.008238102,18,-0.001464912,,,18,0.001471033,,,9,0.000632664,,,9,0.02304497,,,,,,,2.769230769,0.028161151,18,-0.003933299,,,9,-0.011142317,9,-0.003516245,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,0.007963366,18.5,-0.001440278,,,18.5,0.001446296,,,9.25,0.00062574,,,9.25,0.022850386,,,,,,,2.846153846,0.028066994,18.5,-0.003867157,,,9.25,-0.010994169,9.25,-0.003486554,,,,,,,,
